 project_id | course_id |          project_name           |                                                            description                                                            |                                   tasks                                    |                                                bg_materials                                                |   type   | team 
            |           |                                 |                                                                                                                                   | 4, Important countries,                                                   +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 5, Total revenue by month,                                                +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 6, Get order numbers for each customer from the US with less than 5 orders |                                                                                                            |          | 
          6 | TST01     | Curriculum                      | If the previous tasks were not enough for you here is more (HALLELUJAH)                                                           | 1, Create db,                                                             +| https://docs.google.com/document/d/1EFUF7Ip7qGinUgyL10GQfORXApeQA9LZ1FlF4Nky56s/edit                       | Exercise | t
            |           |                                 |                                                                                                                                   | 2, Insert tables with overflowing data,                                   +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 3, Do some cool shit with them                                             |                                                                                                            |          | 
(6 rows)

 project_id | course_id |          project_name           |                                                            description                                                            |                                   tasks                                    |                                                bg_materials                                                |   type   | team 
------------+-----------+---------------------------------+-----------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------+----------+------
          7 | TST02     | Introduction to SQL             | Learn SQL basics                                                                                                                  | 1, Taste it,                                                              +| https://journey.code.cool/v2/project/curriculum/materials/tutorials/introduction-to-sql.md                 | Tutorial | f
            |           |                                 |                                                                                                                                   | 2, Explore further                                                         |                                                                                                            |          | 
          8 | TST02     | Setup PostgreSQL                | Install and experience the fun and never ending joy that comes from debugging the errors in psql                                  | 1, Install PostgreSQL,                                                    +| https://journey.code.cool/v2/project/curriculum/project/setup-postgresql/SOLO/PYTHON/TESTING-4M-DAYTIME    | Exercise | f
            |           |                                 |                                                                                                                                   | 2, Set up PostgreSQL,                                                     +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 3, Connect with psql and create a table with data,                        +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 4, Connect with your IDE and get some data,                               +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 5, Connect to PostgreSQL with Python                                       |                                                                                                            |          | 
          9 | TST02     | Project Codewars - 7 kyu in SQL | Fight through the challenges and build your way up to 7 kyu in the legendary codewars battleground                                | 1, Reach 7 kyu in SQL                                                      | https://journey.code.cool/v2/project/curriculum/project/codewars-sql-7-kyu/SOLO/GENERAL/TESTING-4M-DAYTIME | Exercise | f
         10 | TST02     | TodoDB.sql                      | Write your own todo list in a damn database without any given graphic shell, why? Why not?                                        | 1, VM with NAT Networking,                                                +| https://journey.code.cool/v2/project/curriculum/project/tododb-sql/SOLO/GENERAL/TESTING-4M-DAYTIME         | Exercise | f
            |           |                                 |                                                                                                                                   | 2, Create Database,                                                       +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 3, Create Schema,                                                         +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 4, Alter Schema,                                                          +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 5, Insert Data,                                                           +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 6, Retrieve Data,                                                         +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 7, Modify Existing Data,                                                  +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 8, Delete Finished Tasks,                                                 +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 9, Drop Tables                                                             |                                                                                                            |          | 
         11 | TST02     | Northwind Traders               | You are a member of the Data Analysis team, and your task is to help the management to understand what is going on in the company | 1, List products and their suppliers,                                     +| https://journey.code.cool/v2/project/curriculum/project/northwind-traders/TEAM/PYTHON/TESTING-4M-DAYTIME   | Exercise | f
            |           |                                 |                                                                                                                                   | 2, Count products by categories,                                          +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 3, Top 10 Worst selling products,                                         +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 4, Important countries,                                                   +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 5, Total revenue by month,                                                +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 6, Get order numbers for each customer from the US with less than 5 orders |                                                                                                            |          | 
         12 | TST02     | Curriculum                      | If the previous tasks were not enough for you here is more (HALLELUJAH)                                                           | 1, Create db,                                                             +| https://docs.google.com/document/d/1EFUF7Ip7qGinUgyL10GQfORXApeQA9LZ1FlF4Nky56s/edit                       | Exercise | f
            |           |                                 |                                                                                                                                   | 2, Insert tables with overflowing data,                                   +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 3, Do some cool shit with them                                             |                                                                                                            |          | 
(6 rows)

 project_id | course_id |    project_name     |                                           description                                            |                       tasks                        |                                              bg_materials                                               |   type   | team 
------------+-----------+---------------------+--------------------------------------------------------------------------------------------------+----------------------------------------------------+---------------------------------------------------------------------------------------------------------+----------+------
         15 | FRT01     | Introduction to SQL | Learn SQL basics                                                                                 | 1, Taste it,                                      +| https://journey.code.cool/v2/project/curriculum/materials/tutorials/introduction-to-sql.md              | Tutorial | f
            |           |                     |                                                                                                  | 2, Explore further                                 |                                                                                                         |          | 
         16 | FRT01     | Setup PostgreSQL    | Install and experience the fun and never ending joy that comes from debugging the errors in psql | 1, Install PostgreSQL,                            +| https://journey.code.cool/v2/project/curriculum/project/setup-postgresql/SOLO/PYTHON/TESTING-4M-DAYTIME | Exercise | f
            |           |                     |                                                                                                  | 2, Set up PostgreSQL,                             +|                                                                                                         |          | 
            |           |                     |                                                                                                  | 3, Connect with psql and create a table with data,+|                                                                                                         |          | 
            |           |                     |                                                                                                  | 4, Connect with your IDE and get some data,       +|                                                                                                         |          | 
            |           |                     |                                                                                                  | 5, Connect to PostgreSQL with Python               |                                                                                                         |          | 
(2 rows)

 project_id | course_id |   project_name    |                                                            description                                                            |                                   tasks                                    |                                               bg_materials                                               |   type   | team 
------------+-----------+-------------------+-----------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------+----------+------
         13 | BCK01     | TodoDB.sql        | Write your own todo list in a damn database without any given graphic shell, why? Why not?                                        | 1, VM with NAT Networking,                                                +| https://journey.code.cool/v2/project/curriculum/project/tododb-sql/SOLO/GENERAL/TESTING-4M-DAYTIME       | Exercise | f
            |           |                   |                                                                                                                                   | 2, Create Database,                                                       +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 3, Create Schema,                                                         +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 4, Alter Schema,                                                          +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 5, Insert Data,                                                           +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 6, Retrieve Data,                                                         +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 7, Modify Existing Data,                                                  +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 8, Delete Finished Tasks,                                                 +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 9, Drop Tables                                                             |                                                                                                          |          | 
         14 | BCK01     | Northwind Traders | You are a member of the Data Analysis team, and your task is to help the management to understand what is going on in the company | 1, List products and their suppliers,                                     +| https://journey.code.cool/v2/project/curriculum/project/northwind-traders/TEAM/PYTHON/TESTING-4M-DAYTIME | Exercise | t
            |           |                   |                                                                                                                                   | 2, Count products by categories,                                          +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 3, Top 10 Worst selling products,                                         +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 4, Important countries,                                                   +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 5, Total revenue by month,                                                +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 6, Get order numbers for each customer from the US with less than 5 orders |                                                                                                          |          | 
(2 rows)

 project_id | course_id |   project_name    |                                                            description                                                            |                                   tasks                                    |                                               bg_materials                                               |   type   | team 
------------+-----------+-------------------+-----------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------+----------+------
         17 | SYS01     | TodoDB.sql        | Write your own todo list in a damn database without any given graphic shell, why? Why not?                                        | 1, VM with NAT Networking,                                                +| https://journey.code.cool/v2/project/curriculum/project/tododb-sql/SOLO/GENERAL/TESTING-4M-DAYTIME       | Exercise | f
            |           |                   |                                                                                                                                   | 2, Create Database,                                                       +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 3, Create Schema,                                                         +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 4, Alter Schema,                                                          +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 5, Insert Data,                                                           +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 6, Retrieve Data,                                                         +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 7, Modify Existing Data,                                                  +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 8, Delete Finished Tasks,                                                 +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 9, Drop Tables                                                             |                                                                                                          |          | 
         18 | SYS01     | Northwind Traders | You are a member of the Data Analysis team, and your task is to help the management to understand what is going on in the company | 1, List products and their suppliers,                                     +| https://journey.code.cool/v2/project/curriculum/project/northwind-traders/TEAM/PYTHON/TESTING-4M-DAYTIME | Exercise | t
            |           |                   |                                                                                                                                   | 2, Count products by categories,                                          +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 3, Top 10 Worst selling products,                                         +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 4, Important countries,                                                   +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 5, Total revenue by month,                                                +|                                                                                                          |          | 
            |           |                   |                                                                                                                                   | 6, Get order numbers for each customer from the US with less than 5 orders |                                                                                                          |          | 
(2 rows)

